IDs,pair,both_parsed,full_match,ligand_internal_match,metal_shell_match,mismatch_class
ABGTCU,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABICAP,ILP / CSD,1,0,1,0,metal_only
ABICAP,ILP / NBO(DFT),0,,,,
ABICAP,ILP / Hückel(DFT),1,0,1,0,metal_only
ABICAP,CSD / NBO(DFT),0,,,,
ABICAP,CSD / Hückel(DFT),1,1,1,1,full_match
ABICAP,NBO(DFT) / Hückel(DFT),0,,,,
ABICAQ,ILP / CSD,1,0,1,0,metal_only
ABICAQ,ILP / NBO(DFT),1,1,1,1,full_match
ABICAQ,ILP / Hückel(DFT),1,1,1,1,full_match
ABICAQ,CSD / NBO(DFT),1,0,1,0,metal_only
ABICAQ,CSD / Hückel(DFT),1,0,1,0,metal_only
ABICAQ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABICIX,ILP / CSD,0,,,,
ABICIX,ILP / NBO(DFT),1,1,1,1,full_match
ABICIX,ILP / Hückel(DFT),1,1,1,1,full_match
ABICIX,CSD / NBO(DFT),0,,,,
ABICIX,CSD / Hückel(DFT),0,,,,
ABICIX,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABICIY,ILP / CSD,1,1,1,1,full_match
ABICIY,ILP / NBO(DFT),1,1,1,1,full_match
ABICIY,ILP / Hückel(DFT),1,1,1,1,full_match
ABICIY,CSD / NBO(DFT),1,1,1,1,full_match
ABICIY,CSD / Hückel(DFT),1,1,1,1,full_match
ABICIY,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABICUK,ILP / CSD,1,1,1,1,full_match
ABICUK,ILP / NBO(DFT),1,1,1,1,full_match
ABICUK,ILP / Hückel(DFT),1,1,1,1,full_match
ABICUK,CSD / NBO(DFT),1,1,1,1,full_match
ABICUK,CSD / Hückel(DFT),1,1,1,1,full_match
ABICUK,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIDEU,ILP / CSD,0,,,,
ABIDEU,ILP / NBO(DFT),1,1,1,1,full_match
ABIDEU,ILP / Hückel(DFT),1,1,1,1,full_match
ABIDEU,CSD / NBO(DFT),0,,,,
ABIDEU,CSD / Hückel(DFT),0,,,,
ABIDEU,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIDIB,ILP / CSD,1,1,1,1,full_match
ABIDIB,ILP / NBO(DFT),1,1,1,1,full_match
ABIDIB,ILP / Hückel(DFT),1,1,1,1,full_match
ABIDIB,CSD / NBO(DFT),1,1,1,1,full_match
ABIDIB,CSD / Hückel(DFT),1,1,1,1,full_match
ABIDIB,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIDOE,ILP / CSD,0,,,,
ABIDOE,ILP / NBO(DFT),1,1,1,1,full_match
ABIDOE,ILP / Hückel(DFT),1,1,1,1,full_match
ABIDOE,CSD / NBO(DFT),0,,,,
ABIDOE,CSD / Hückel(DFT),0,,,,
ABIDOE,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIFEZ,ILP / CSD,1,1,1,1,full_match
ABIFEZ,ILP / NBO(DFT),1,1,1,1,full_match
ABIFEZ,ILP / Hückel(DFT),1,1,1,1,full_match
ABIFEZ,CSD / NBO(DFT),1,1,1,1,full_match
ABIFEZ,CSD / Hückel(DFT),1,1,1,1,full_match
ABIFEZ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIFUM,ILP / CSD,1,1,1,1,full_match
ABIFUM,ILP / NBO(DFT),1,1,1,1,full_match
ABIFUM,ILP / Hückel(DFT),1,1,1,1,full_match
ABIFUM,CSD / NBO(DFT),1,1,1,1,full_match
ABIFUM,CSD / Hückel(DFT),1,1,1,1,full_match
ABIFUM,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABIGIC,ILP / CSD,1,1,1,1,full_match
ABIGIC,ILP / NBO(DFT),0,,,,
ABIGIC,ILP / Hückel(DFT),1,1,1,1,full_match
ABIGIC,CSD / NBO(DFT),0,,,,
ABIGIC,CSD / Hückel(DFT),1,1,1,1,full_match
ABIGIC,NBO(DFT) / Hückel(DFT),0,,,,
ABIHUO,ILP / CSD,0,,,,
ABIHUO,ILP / NBO(DFT),0,,,,
ABIHUO,ILP / Hückel(DFT),1,1,1,1,full_match
ABIHUO,CSD / NBO(DFT),0,,,,
ABIHUO,CSD / Hückel(DFT),0,,,,
ABIHUO,NBO(DFT) / Hückel(DFT),0,,,,
ABIJEA,ILP / CSD,0,,,,
ABIJEA,ILP / NBO(DFT),0,,,,
ABIJEA,ILP / Hückel(DFT),1,1,1,1,full_match
ABIJEA,CSD / NBO(DFT),0,,,,
